remark: ../source/haar.cpp:3344:11: Inlining function 'weakClassifier(int, ap_uint<18>*, int, int)' into 'cascadeClassifier(MyPoint, ap_uint<18> (*) [25], ap_uint<26> (*) [2])'
remark: ../source/haar.cpp:3335:7: Inlining function 'get_all_data(ap_uint<18>*, ap_uint<10>*, ap_uint<18>*)' into 'cascadeClassifier(MyPoint, ap_uint<18> (*) [25], ap_uint<26> (*) [2])'
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'SetIi' (../source/haar.cpp:3040:9) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Ilast' (../source/haar.cpp:3053:14) in function 'processImage' completely with a factor of 24
remark: ../source/haar.cpp:2944:0: Unrolling loop 'LineBuf' (../source/haar.cpp:3062:16) in function 'processImage' completely with a factor of 23
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP1' (../source/haar.cpp:3154:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COPY_LOOP2' (../source/haar.cpp:3156:14) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'COMPUTE_BANK_AND_OFFSET' (../source/haar.cpp:963:3) in function 'processImage' completely with a factor of 12
remark: ../source/haar.cpp:2944:0: Unrolling loop 'ASSIGN_OFFSET_FOR_BANKS' (../source/haar.cpp:971:3) in function 'processImage' completely with a factor of 28
remark: ../source/haar.cpp:2944:0: Unrolling loop 'CHOOSE_DATA' (../source/haar.cpp:1021:3) in function 'processImage' completely with a factor of 12
remark: ../source/haar.cpp:2944:0: Unrolling loop 'VITIS_LOOP_3337_1' (../source/haar.cpp:3337:26) in function 'processImage' completely with a factor of 12
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize2y' (../source/haar.cpp:3004:3) in function 'processImage' completely with a factor of 24
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1i' (../source/haar.cpp:2992:3) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize1j' (../source/haar.cpp:2995:5) in function 'processImage' completely with a factor of 50
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initialize0u' (../source/haar.cpp:2976:3) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: ../source/haar.cpp:2944:0: Unrolling loop 'Initailize0v' (../source/haar.cpp:2979:5) in function 'processImage' completely with a factor of 25
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:12:0: Inlining function 'fp_struct<double>::fp_struct(double)' into 'int generic_cast_IEEE754<int, (ap_q_mode)6, double>(double, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:12:0: Inlining function 'fp_struct<double>::mantissa() const' into 'int generic_cast_IEEE754<int, (ap_q_mode)6, double>(double, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:12:0: Inlining function 'fp_struct<double>::expv() const' into 'int generic_cast_IEEE754<int, (ap_q_mode)6, double>(double, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:12:0: Inlining function 'fp_struct<double>::__signbit() const' into 'int generic_cast_IEEE754<int, (ap_q_mode)6, double>(double, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:116:0: Inlining function 'int generic_cast_IEEE754<int, (ap_q_mode)6, double>(double, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)' into 'int generic_cast_IEEE754<int, double>(double, bool)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/src/lib_floatconversion.cpp:55:0: Inlining function 'int generic_cast_IEEE754<int, double>(double, bool)' into '__hls_fptosi_double_i32'
remark: ../source/haar.cpp:2814:0: Inlining function '__hls_fptosi_double_i32' into 'myRound(float)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:12:0: Inlining function 'fp_struct<float>::fp_struct(float)' into 'int generic_cast_IEEE754<int, (ap_q_mode)6, float>(float, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:12:0: Inlining function 'fp_struct<float>::mantissa() const' into 'int generic_cast_IEEE754<int, (ap_q_mode)6, float>(float, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:12:0: Inlining function 'fp_struct<float>::expv() const' into 'int generic_cast_IEEE754<int, (ap_q_mode)6, float>(float, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:12:0: Inlining function 'fp_struct<float>::__signbit() const' into 'int generic_cast_IEEE754<int, (ap_q_mode)6, float>(float, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/include/FloatingPoint/hls_case_IEEE754.h:116:0: Inlining function 'int generic_cast_IEEE754<int, (ap_q_mode)6, float>(float, bool, hls::enable_if<std::numeric_limits<int>::is_signed, bool>::type)' into 'int generic_cast_IEEE754<int, float>(float, bool)'
remark: /wrk/ci/prod/2023.2/hls_product/continuous/689/2023.2/src/shared/hls/clib/hlsmath/src/lib_floatconversion.cpp:51:0: Inlining function 'int generic_cast_IEEE754<int, float>(float, bool)' into '__hls_fptosi_float_i32'
remark: ../source/haar.cpp:2944:0: Inlining function 'int_sqrt(ap_uint<32>)' into 'processImage(float, int, int, int*, int*, int*, int*, int*, unsigned char (*) [320], MySize)'
